timestamp,M1power_A,M1power_B,M1power_C,M2power_A,M2power_B,M3power_C,Bil (Baht.-),Temp,Humidity
2020-12-19,4.235026961691307,2.6937442175751554,3.9351943525931783,16.841756865247575,12.184591025259033,12.360700626022043,1254.024337161319,24.375,70.25
2020-12-20,4.4229151787029375,0.4511457926697201,3.6939270017668604,16.237155142158382,12.27099847959205,11.961760854257317,1176.9096587795343,22.375,73.5
2020-12-21,4.2511063916235905,0.0,3.469194966411491,13.145426690101292,10.816134411160887,11.862818424684264,1045.0723412155567,21.875,55.875
2020-12-22,3.5893673508301984,0.0,3.331582298397078,12.365550529863066,9.350430246345649,10.234627601960465,932.917392657515,19.75,61.375
2020-12-23,3.7830252256222185,0.0,3.9196123654649124,10.448107848405533,9.67806157496366,9.23321598855095,889.4885520721746,19.375,68.625
2020-12-24,3.4468558501683826,0.0,3.082699041103232,12.09613808211353,9.91880848970678,9.620977566639583,915.9714967135562,20.25,67.125
2020-12-25,4.6116259621543145,0.0,4.426375940368625,12.831322540100862,10.330466381696722,9.207739706285444,993.7807327345432,21.25,68.75
2020-12-26,4.909207175733106,0.0,3.965304404904159,13.966025083330745,11.231687055743942,10.486571901218742,1069.4110949023366,24.125,68.5
2020-12-27,6.208997572319539,0.0,5.128414985579656,16.139221222169937,12.717572078794705,0.8003548989912962,983.8694581885231,25.125,71.125
2020-12-28,4.993461800398838,0.0,4.464952805667687,15.419836896219607,12.480854170533904,0.0,896.6185361476809,24.875,67.0
2020-12-29,4.078075418700426,0.0,3.269610839980631,14.17791191224129,10.341439713425894,0.0,764.8089092243579,23.125,63.75
2020-12-30,4.692969394349546,0.0,3.94698610074172,13.732223061287412,9.144213913824755,0.0,756.3934192848824,22.625,63.625
2020-12-31,6.368432807736099,0.0,5.45522470055148,15.749398974762082,12.906206993120888,0.0,971.5023234280932,24.0,64.0
2021-01-01,4.379729280703478,0.0,3.7250586008143824,15.656903392553934,12.75298959528808,0.0,876.352340864637,23.25,60.25
2021-01-02,3.9381642277874698,0.0,3.0357207528428534,11.60719559623721,11.64467341389651,0.0,725.418095778337,21.25,71.125
2021-01-03,3.1074697916470564,0.0,2.4817916442838945,9.806238551725725,10.741260551205144,0.0,627.2822529326837,21.25,72.375
2021-01-04,2.393662468380693,0.0,2.365152513255944,6.245446737032437,6.478207995573174,0.0,419.579273141814,21.875,71.875
2021-01-05,3.2989567585961423,0.0,2.8819780761777856,5.776998864785044,6.342229142566024,0.0,439.20390821099994,22.25,69.75
2021-01-06,3.152105060097322,0.0,2.2591272285130093,5.624601283299766,5.372126706910409,0.0,393.7910466916921,22.75,69.75
2021-01-07,3.153379971372594,0.0,2.4136750082511944,7.063426025573713,5.220441376969919,0.0,428.4221371720181,24.75,69.75
2021-01-08,2.003986345368518,0.0,1.2907454826526206,6.098795331002515,5.912871448476544,0.0,367.3535665800047,25.5,71.375
2021-01-09,1.7372842670437563,0.0,0.5640898429427125,4.680525370809037,5.22273643399633,0.0,292.9112619550041,25.571428571428573,65.71428571428571
2021-01-10,1.6211928728375153,0.0,0.37818414633983094,3.8456465489365734,4.642741154829373,0.0,251.70635335063903,25.0,59.75
2021-01-11,0.7208550972560417,0.0,0.043098760070632285,3.075545278076334,3.319465487404607,0.0,171.81515094738273,25.625,57.375
2021-01-12,0.47219707225778756,0.0,0.053545891691104984,3.068608814518591,3.234347193145318,0.0,163.88877531870725,19.125,63.75
2021-01-13,0.45565888921611875,0.0,0.008898726023877687,2.0049796526838546,1.9081328472894106,0.0,105.06408276511827,17.0,69.5
